"범죄별(1)",범죄별(2),범죄별(3),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"범죄별(1)",범죄별(2),범죄별(3),합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과
"형법범",재산범죄,배임,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,-,-,-,,-,-,-,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",재산범죄,손괴,14.9,315.4,83.3,200.0,400.0,1200.0,300.0,400.0,,-10.9,-25.0,-21.2,43.3,-12.4,-17.5,10.7,-52.2,-8.8,13.9,-18.2,-41.7,80.0,57.7,-16.7,60.0,33.3,-17.8,-4.8,11.5,-25.6,-24.7,-30.8,-19.4,36.4,2.9,-26.8,33.3,-35.7,-40.7,-34.1,0.0,-62.5,-25.0,19.5,5.0,27.6,-3.1,39.1,11.1,32.0,-13.3,5.9,16.7,16.7,100.0,-12.5,22.2,-40.0,233.3,33.3,2.3,47.6,18.9,6.5,-7.9,10.0,-45.5,38.5,13.3,11.4,35.7,11.1,35.7,-9.1,8.3,30.0,-25.0,14.1,-41.9,4.5,36.4,15.9,38.6,83.3,-44.4,-1.9,59.0,31.6,80.0,115.8,30.0,100.0,15.4,33.3,-25.0,44.4,-39.1,-22.2,-30.5,-24.6,-39.4,0.0,10.6,2.7,8.0,27.8,-43.9,23.1,-3.8,13.3,25.0,16.9,53.8,75.0,-8.6,21.2,-19.6,15.0,-10.0
"형법범",강력범죄(흉악),소계,-8.3,-26.0,-46.4,7.7,-15.6,-39.3,58.8,-56.5,-40.0,-1.6,-28.0,-10.7,26.1,-9.4,8.5,59.6,-6.3,-3.7,-31.8,-51.1,-37.5,-26.3,-31.5,-18.5,0.0,66.7,4.3,-26.7,8.0,9.5,14.3,12.2,-7.2,-6.8,-6.8,-11.3,40.9,-54.3,-28.6,35.1,-27.3,-60.0,-20.0,-6.0,1.5,7.4,-3.9,-8.4,-6.2,-6.5,-32.7,-2.2,-9.9,-45.2,87.5,-15.0,-24.0,6.3,50.0,-50.0,-0.9,16.4,3.4,-13.9,4.9,-1.7,-29.2,13.5,-5.9,63.0,23.5,13.3,129.4,73.7,47.1,100.0,400.0,-16.9,-17.9,-28.3,-15.2,-15.2,-28.6,3.9,9.5,1.2,70.5,114.3,100.0,35.9,40.9,140.0,141.7,-50.0,-20.7,-39.1,-24.4,-23.6,-12.8,1.2,-18.9,-65.2,0.0,11.6,-17.8,-5.9,34.0,34.4,-23.3,41.4,100.0,-7.9,30.8,-1.5,-7.4,-27.0,-14.0,30.2,43.8
"형법범",강력범죄(흉악),살인,0.0,-,-,-,-,-,-,-,-,20.0,-,0.0,-,0.0,,-,-,16.7,,-,-,-,-,,-,-,0.0,-,100.0,-,33.3,-,-,-,42.9,0.0,-,-,-,-,0.0,-,-,50.0,,-50.0,,-75.0,-,,,-60.0,100.0,-,-,-,,-,,-,-77.8,-,0.0,-,-,,-,-,0.0,0.0,-,-,,-,-,0.0,-,0.0,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,,-,,-,,,,,,,-,-
"형법범",강력범죄(흉악),강도,-27.7,-26.5,-42.0,-7.0,-12.5,-33.3,36.4,-52.9,-66.7,-28.4,-27.6,-46.4,-23.4,-28.9,-23.9,43.8,-45.0,-36.5,-36.7,-55.0,-32.5,-28.6,-32.4,-26.7,-50.0,100.0,-36.3,-50.0,-32.4,11.1,-50.0,-51.4,-21.7,-27.3,0.7,-7.6,50.0,-55.6,-55.0,47.8,0.0,-75.0,50.0,5.8,-14.3,16.0,-47.5,62.8,23.5,-5.6,-25.0,-19.7,-12.4,-51.9,116.7,0.0,-38.2,9.1,200.0,-66.7,-23.6,11.1,3.4,-47.6,-24.3,-23.8,-70.6,-33.3,-30.4,-37.6,-38.5,-42.3,0.0,-42.9,-41.7,-33.3,-,-25.9,-30.0,-46.7,63.6,-45.3,-37.5,80.0,75.0,-9.0,11.3,12.5,-20.0,0.0,58.3,-14.3,100.0,-,-19.4,-50.0,-56.3,-11.1,27.6,40.0,-77.8,-,71.8,122.0,55.6,191.7,255.6,94.7,66.7,-25.0,-,36.1,71.4,214.3,18.8,-8.1,21.4,200.0,
"형법범",강력범죄(흉악),방화,-25.8,-82.4,-,0.0,-,-85.7,-,-,,-4.4,-33.3,-12.5,150.0,0.0,-33.3,0.0,-28.6,-21.7,233.3,,0.0,,-,,,0.0,-39.5,-66.7,-57.1,-70.0,87.5,-50.0,-,-80.0,-41.7,-40.0,-,200.0,0.0,-,-,-50.0,-,-42.3,0.0,0.0,-33.3,-60.0,0.0,-,-,100.0,33.3,-,-66.7,50.0,,,-,,126.7,0.0,33.3,100.0,150.0,250.0,,,-14.3,50.0,,100.0,-33.3,50.0,200.0,-,0.0,-29.4,250.0,-25.0,-50.0,-26.7,-85.7,-,-,-5.6,50.0,600.0,100.0,150.0,-33.3,-,-,-,-33.3,-71.4,0.0,150.0,-72.7,0.0,,-,-35.3,-50.0,-71.4,-25.0,-,0.0,,-,-,-18.8,50.0,-66.7,-40.0,-33.3,-,-50.0,
"형법범",강력범죄(흉악),강간,18.7,-9.9,-50.0,87.5,-9.1,-36.7,140.0,-60.0,-50.0,23.8,-27.6,61.8,70.7,6.2,37.0,72.7,22.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범죄(흉악),성폭력,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,-8.6,-14.0,300.0,-85.7,50.0,14.3,-55.6,-50.0,-50.0,-8.2,2.3,6.4,15.5,-17.3,-10.9,-8.5,-34.8,3.0,-13.5,0.0,200.0,-44.4,-12.5,0.0,0.0,-,4.1,27.3,2.4,-7.2,11.8,-3.1,-16.7,23.3,3.1,337.5,200.0,466.7,440.0,264.3,275.0,350.0,,-14.3,-23.2,-21.2,-24.4,-7.2,-22.1,-2.2,5.4,4.5,97.1,141.7,205.9,44.4,41.2,260.0,177.8,-44.4,-20.1,-30.2,-17.9,-30.9,-15.0,-4.1,-11.4,-59.0,-14.5,-8.7,-27.6,-50.0,0.0,18.1,-37.0,48.0,100.0,-18.2,16.7,-29.1,-14.9,-32.3,-23.9,25.6,6.3
"형법범",강력범죄(폭력),소계,-24.1,-6.1,-41.5,-20.6,3.9,-16.0,65.4,39.5,32.5,-33.6,-46.7,-36.9,-29.0,-37.2,-23.8,-7.5,-47.4,-17.2,-11.7,-26.4,-17.9,-13.6,-9.2,0.8,-15.4,-2.7,-21.4,-28.3,-26.6,-16.5,-16.9,-14.8,-31.0,-35.3,-7.8,-19.7,-12.5,-19.8,-27.9,-20.2,-27.0,-0.4,1.9,2.4,-2.7,-0.2,-6.6,-3.1,-1.2,43.9,14.7,1.3,-3.2,15.9,7.9,8.5,-3.9,-20.2,-16.1,-19.3,4.3,27.4,21.0,6.9,8.3,-5.5,-19.1,-5.5,8.9,8.9,5.8,10.9,11.5,13.0,7.7,0.9,-15.9,8.8,1.2,13.9,17.5,16.4,4.3,-4.7,-21.3,-6.6,18.0,29.7,16.9,18.8,10.0,28.9,18.6,12.2,-21.7,-15.8,-15.8,-18.6,-22.1,-27.1,-29.2,-27.6,-7.4,-4.1,-10.0,-2.6,-5.4,-1.0,-2.7,-8.5,-9.6,-10.4,-5.9,-9.2,-17.6,-12.5,2.4,-13.6,-24.6
"형법범",강력범죄(폭력),폭행,14.4,60.6,-15.4,36.6,103.0,34.1,177.2,66.7,83.3,-6.1,-25.6,-4.7,21.3,-11.8,-7.7,23.2,-36.2,71.5,80.1,84.1,109.3,43.3,99.6,81.0,57.6,57.6,65.0,95.3,57.7,54.1,64.8,94.5,40.6,43.3,-0.7,-12.5,0.0,-16.3,-5.2,-16.9,-23.1,-1.5,25.0,9.0,-0.8,14.4,6.6,4.6,-2.0,39.7,18.6,6.7,0.8,22.2,20.6,9.3,-4.2,-11.8,-3.0,-21.5,10.5,20.2,23.4,16.9,17.5,4.1,-13.7,4.9,9.7,10.4,9.1,8.8,9.0,26.5,1.5,-5.5,-15.7,9.2,20.8,18.6,14.8,12.7,3.9,-5.6,-15.9,-3.4,25.7,52.8,19.3,24.0,10.9,52.3,35.5,9.3,-21.2,-21.7,-13.8,-16.3,-18.8,-24.7,-34.8,-35.6,-7.4,-5.5,-7.9,-9.8,-7.8,-0.6,-0.3,-17.1,-4.3,-9.4,-5.7,-8.6,-17.2,-6.2,-12.1,-8.3,-6.9
