범죄별(1),범죄별(2),범죄별(3),2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
범죄별(1),범죄별(2),범죄별(3),합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
범죄별(1),범죄별(2),범죄별(3),소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과
형법범,재산범죄,배임,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,,0,-,-,-,-,-,-,-,-,0,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,재산범죄,손괴,46.1,22.2,100,-66.7,100,200,150,-,-33.3,50.5,,200,100,58.1,0,93.3,-37.5,56,95.5,50,300,100,144.4,-60,,0,50,166.7,26.7,107.1,34.7,104.3,-34.5,130,-26,-27.9,-33.3,-62.5,100,-72.7,250,150,-,-25.6,-43.8,26.3,-48.3,-3,-36.2,-26.3,-69.6,-18.6,-6.5,-50,100,-62.5,133.3,-71.4,-40,-,-20.9,55.6,-25,46.7,-50,-13.3,-42.9,28.6,8.2,-31,100,-16.7,-33.3,-50,50,-66.7,-,17.1,-35.7,-11.1,-4.5,50,19.2,150,-33.3,91.8,30,200,60,50,-71.4,100,0,-,100,211.1,106.3,42.9,102.1,103.2,40,283.3
형법범,강력범죄(흉악),소계,-1.7,8,-33.3,23.5,94.4,16.1,-11.1,-40,100,-4.6,4.1,21.6,5.6,-2,-5.9,-32,-34,69.4,52.3,54.2,57.1,-8.6,73.8,81.3,100,0,75.2,68.6,58.1,59.6,80.6,82.5,120.6,45.2,18.2,45.5,154.1,78.8,56.3,13.3,37.9,-16.7,-33.3,10.1,62.8,20.4,65.9,4.4,-17.1,-14.7,-51.1,-22.5,-34.4,-63.8,16.9,-32,-33.6,-45,-46.7,0,-17.9,-49.3,19.5,-23.2,-24.5,-5.8,7.8,-9.1,15.3,18.8,88.2,1.4,-38.2,25.9,22.7,62.5,-50,14.2,45.1,-9.9,3.4,18.9,14.9,10.1,80,-7.7,3.6,31.3,-25.7,114.3,-16.8,-37,76.9,150,-11.4,21.4,-11.8,-23.3,-18.5,-19.1,-31.6,75
형법범,강력범죄(흉악),살인,16.7,,-,-,-,,-,-,-,0,-,-,,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,,-,,,,,-,-85.7,,-,,-,-,-,-,-,-92.9,-,-,-,-85.7,-,-,-,50,-,-,-,-,-,-,-,-,200,-,-,,0,,-,-,100,,-,-,-,,-,-,-,66.7,-,,-,200,-,-,
형법범,강력범죄(흉악),강도,13.7,13.5,-31,12.5,121.4,26.8,0,-50,100,13.8,13.8,70.8,33.3,35.1,-7.1,-52.8,-20,38.6,44.8,55,50,-19.4,69.2,83.3,100,-50,35.8,51.5,29.3,16.7,16.8,66.7,147.1,25,33.2,58,167.7,92.6,52,20.5,45.5,8.3,50,21.2,52,9.4,76.2,35.3,-13.8,-33.3,-20,-47.3,-50.5,-69.9,-9.6,-52.6,-51.9,-50,-61.5,-,-45.2,-61.8,0,-52.7,-53.1,-35.7,-21.4,-68.8,37.2,34,96,14.9,-33.3,41.2,31.3,40,,39,82.8,-12.1,31.4,48.5,55.6,45.5,100,-1,4.1,40.8,-20.4,166.7,-29.2,-47.6,142.9,50,-3.8,9.4,35.3,2.2,-16,-17.9,-50,100
형법범,강력범죄(흉악),방화,123.5,-40,,,-,-50,-,-,-,191.7,500,,600,50,200,,-50,-10.5,-33.3,-,-,,0,-,-,-,-8.6,-33.3,25,-71.4,11.1,50,-50,0,-2.9,200,,,0,100,-,-,-,-15.6,0,-80,250,-30,-33.3,100,-,51.5,83.3,0,0,200,50,-,-,,44.4,125,200,-42.9,114.3,-33.3,0,,-20,0,-50,100,-33.3,66.7,,-,-,-25.6,-66.7,233.3,25,-40,-,0,-,55,54.5,400,-50,0,40,0,,-,55.2,200,-20,-20,-11.1,,50,
형법범,강력범죄(흉악),강간,-31.8,-9.4,-57.1,100,100,-15.4,-33.3,50,100,-34.7,-36.8,-32,-53.8,-43,-12.5,7.1,-41.7,164.9,103.4,100,200,50,118.2,75,100,100,175.9,166.7,135.3,291.7,250.9,105.7,113.3,71.4,-2,-3.4,50,0,83.3,-16.7,14.3,-66.7,-75,-1.8,81.3,47.5,42.6,-21,-19.4,3.1,-75,16.3,43.9,-22.2,233.3,18.2,55,-25,50,100,12.8,-43.1,35.6,14.9,9.5,27.6,36.4,116.7,1.4,-7.3,100,-30,-46.2,-3.2,-16.7,100,-,2.8,42.4,-17.5,-11.7,7.5,0,-6.7,100,-19.5,-6.6,-28.6,-42.9,57.1,0,0,-16.7,,-21.4,23.4,-48.5,-39.7,-22,-27,-21.4,34.6
형법범,강력범죄(폭력),소계,34.8,25.3,65.5,45.3,51.6,24.9,-5.7,6.8,12.1,41.6,91.9,44.8,55.8,47.9,27.6,31.3,13.6,45.8,38.6,77.9,41.1,31.3,39.3,46.4,4.6,8.3,50.3,35.5,76.3,55.3,58.5,60.3,28.5,7.4,-1.5,-4,23.9,1.4,8.9,-6.1,-21,-9.6,-63.8,-0.1,28,13.7,4.6,0.6,-4.7,-12.1,-38.6,-21.1,-18.9,-47.8,18.6,-10.5,-27.7,-4.9,-29.5,-10.6,-22.3,-26.2,0.1,2.5,-33.7,-24.4,-29.8,-22.3,-3.5,-10.6,38.8,-12.2,-19.3,-15,-29,4.8,-21.4,0.7,23.7,-3.1,-3.6,-5,7.5,5.7,-9.6,66.8,69.4,65.5,51.3,80.2,84.9,49.4,55.6,151.5,65.5,67.6,49.8,48.4,70.8,50.5,60.9,230
형법범,강력범죄(폭력),폭행,60.9,36.6,150,7.7,80,32.6,2.9,30.8,183.3,75.4,100,107.1,78.9,77,102.9,81.8,21.6,75.3,61.9,160,100,11.1,66.7,51.4,64.7,29.4,81.5,62.5,158.6,70.6,115.7,81.7,28.3,35.6,-17.1,-23.2,-34.6,-25,85,-18.9,-39.6,-25,-81.8,-14.6,26.9,-33.3,-3.4,-8.2,-14,-16.9,-42.6,-1,17.7,58.8,90.5,-10.8,6.5,21.9,-14.3,75,-8,-21.2,46,21.4,-18.7,-18,-3.1,-31.4,-6.7,-24.8,-44.4,-22.5,3,-25.6,-43.6,0,-42.9,1.9,69.2,-11,-1.5,1.1,5.5,-3.2,-16.7,121.7,162.2,246.7,129,94.1,178.7,159.1,183.3,350,107.6,95.5,98.5,82.1,102.8,104.2,86.7,370
형법범,강력범죄(폭력),상해,46,37.3,63.6,24.1,14.3,49.5,30.8,59.3,0,51.4,94.4,120.8,104.2,75,14.6,-2.8,70.4,23.8,19.9,55.6,27.8,12.5,9.9,37.3,23.3,5,26,17.1,13.2,22.4,29.1,49.1,52.2,-15.2,-16.1,-20.5,-14.3,-32.6,11.1,-5.1,-35.7,-37.7,-76.2,-13.7,-9.8,38.3,5,-2.4,-26.8,-32.4,-53.8,-4.1,-3.7,-50,74.2,20,-20.9,15.6,-30.3,60,-4.3,-13.5,-21.7,25.4,-19,10,21.1,-2.8,-8.2,-9.9,200,-1.9,-25,-31.6,-11.5,4.3,0,-7.3,46.9,18.5,8.9,-13.5,-12.9,-31.4,-25.7,46.2,33.6,5.6,7.5,50,80,2.2,4.2,62.5,52.3,66,35.1,20.9,75.1,33.9,18.6,188.5
