,총성인범,총형법범,총재산범,절도,장물,사기,횡령,배임,손괴,총강력범(흉악),살인,강도,방화,성폭력,강력범(폭력),폭행,상해,협박,공갈,약취와유인,체포와감금,폭력행위등(손괴강요주거침입등),폭력행위등(단체등의구성·활동),폭력행위등처벌에관한법률위반
2013,1197611.0,952642.0,443769.0,73517.0,5967.0,289120.0,36134.0,9733.0,29298.0,25060.0,1005.0,2095.0,1242.0,20718.0,322258.0,159736.0,74374.0,4740.0,2357.0,262.0,1101.0,0.0,1906.0,77782.0
2014,1774340.0,871197.0,367642.0,70025.0,4226.0,221097.0,32091.0,10897.0,29306.0,26557.0,1003.0,1692.0,1288.0,22574.0,310271.0,192138.0,94815.0,9721.0,5414.0,250.0,1936.0,4302.0,1695.0,0.0
2015,1842602.0,921618.0,393529.0,82440.0,3917.0,230045.0,36298.0,9756.0,31073.0,28926.0,986.0,1589.0,1421.0,24930.0,325053.0,209912.0,87167.0,14567.0,4416.0,246.0,2160.0,4573.0,2012.0,0.0
2016,1913829.0,929892.0,391362.0,84297.0,3210.0,224930.0,35806.0,8980.0,34139.0,30001.0,993.0,1421.0,1203.0,26384.0,328047.0,224298.0,76472.0,17123.0,4336.0,272.0,2340.0,2638.0,568.0,0.0
2017,1762709.0,888789.0,380008.0,86178.0,2677.0,213253.0,34186.0,9532.0,34182.0,32941.0,911.0,1234.0,1145.0,29651.0,309506.0,216023.0,67290.0,16610.0,3869.0,272.0,2464.0,2422.0,556.0,0.0
2018,1654967.0,888451.0,394334.0,80918.0,1513.0,231569.0,35679.0,9649.0,35006.0,32638.0,881.0,971.0,1250.0,29536.0,295830.0,209001.0,59440.0,18351.0,3527.0,250.0,2125.0,2220.0,916.0,0.0
2019,1661784.0,917409.0,417617.0,84674.0,1284.0,248339.0,36022.0,9660.0,37638.0,33338.0,894.0,1023.0,1191.0,30230.0,291978.0,205996.0,54454.0,22387.0,3536.0,343.0,2200.0,2634.0,428.0,0.0
