범죄별(1),범죄별(2),범죄별(3),2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
범죄별(1),범죄별(2),범죄별(3),합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,아동보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,아동보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,아동보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,아동보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류
범죄별(1),범죄별(2),범죄별(3),소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계
형법범,재산범죄,배임,-88.9,,,,,,,,-85.7,,-66.7,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,500,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,0,,0,,,,,
형법범,재산범죄,손괴,-2.3,21.8,,100,22.2,30.3,,,-15.4,-22.9,51.5,-75,-35.7,166.7,,,-18.8,0,,16.7,-3.6,-35.4,0,,-16.9,-19.6,-15.5,0,66.7,43.8,,,12,10.4,,57.1,-5.7,35.2,0,,7.3,11,0,200,-60,-26.1,,,22.6,-27,0,-31.8,-26,19.7,1600,,,29.8,23.1,40.2,77.8,166.7,-5.9,,,-0.2,3.7,-50,-40,24.3,23.2,-5.9,,-7.1,-11.5,19.7,-81.3,-25,-81.3,,-2.2,23.2,100,177.8,-8.7,-4.7,-25,,,-2.5,-0.8,-5.5,-33.3,-8.3,-66.7,,,20.6,2.9,50,20,-9.5,25.5,50,,,19.2,16.6,29.7,0,-27.3,400,,
형법범,강력범죄(흉악),소계,-8.9,3.8,-0.8,6.6,23.8,-13.4,,,-14.7,-6.9,-1.5,-43.5,-35.4,-28.6,-33.3,,17.2,-18.6,-21.1,-10.4,-55.8,27.7,,,31.9,40.9,118.9,-69.2,-91.5,560,250,,-17,-2.2,-2.6,2.8,-65.2,-29.6,,,-8.4,4.4,-22.6,-50,-15.4,-47.5,-64.3,,25.5,-8.5,-13.4,-5.5,50,47.9,,,,29.2,24.7,37.7,100,-27.3,46.2,-40,,4.6,-2.1,-24.4,3.2,341.7,2.6,,,15.2,15.2,12.7,150,87.5,-67.1,0,0.7,5.5,-21,25.9,-20.8,9.7,300,,,-10.7,-16.4,-2.9,20,-13.3,24,33.3,,5.6,14.5,21.4,13.2,2.4,2.9,-75,,-50,4.4,-6.6,20,-33.3,-30.8,16.1,,
형법범,강력범죄(흉악),살인,-11.5,23.5,-7.1,166.7,,-33.3,,,,,,,,,,,-13,-42.9,-15.4,-87.5,,0,,,,,,,,,,,-50,-33.3,-54.5,200,,0,,,,,,,,,,,70,87.5,200,,,,,,,,,,,,,,,-35.3,-53.3,-60,,,,,,0,0,0,,,,,-90.9,,,,,,,,,-50,0,,,,,,,1100,,,,,,,,,100,100,,,,,,
형법범,강력범죄(흉악),강도,-27.8,-19.6,-32.4,-4.1,0,-31.2,,,-41,-57.1,-22.5,,200,-16.7,,,-44.7,-40.2,-28,-48.9,,-43.6,,,-60.8,-71.8,-41.9,,-77.8,-60,,,-7.8,20.4,23.3,13.9,,-38.7,,,-16.1,9.1,-22.2,,,-25,,,-19.5,-36.4,-35.1,-36.6,,7.1,,,,26.9,-8.3,42.9,,,-66.7,,,-26.2,-35.5,-36.1,-40.4,,-17.8,,,-30.3,63.6,-80,,-50,400,,-13.1,15,8.7,32.3,-66.7,-33.8,,,,-26.1,-55.6,100,,0,-80,,,66.7,68.5,54,90.2,,85.7,,,,5.9,-37.5,50,,0,0,,
형법범,강력범죄(흉악),방화,-31.1,-50,-80,-36.4,,-15.7,,,-38.5,-40.5,-12.5,,,,,,10.7,-25,400,-85.7,,-8.5,,,25,48,-64.3,,,,,,-64.1,-50,,0,,-53.7,,,-70,-70.3,-80,,0,,,,159.6,200,,600,,100,,,,195.8,168.2,1100,,,,,,-24.4,11.1,0,0,,-34,,,-18.3,-18.6,-16.7,,,-80,,-2.9,-70,,-57.1,,42.4,,,,-15.5,-16.7,-10,,,,,,-8.1,-33.3,,-66.7,,-27.7,,,,12.2,12.5,11.1,,,,,
형법범,강력범죄(흉악),강간,3.8,24.9,33.2,15.6,27,-2.1,,,-3.7,29.6,8.6,-31.6,-37.9,-44.4,-33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
형법범,강력범죄(흉악),성폭력,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15,-8.5,-9,-1.2,-82.6,-26.9,,,-1.5,18,-20.9,-50,0,-45.6,-64.3,,28.7,0.9,-7.1,3.7,200,51.6,,,,24.1,18.8,33.8,100,-40,42.9,-40,,9.5,9,-16.6,12,308.3,6,,,19,17.7,17.9,150,133.3,-72.9,-33.3,2.1,7,-26.2,27.8,-16.3,11.9,300,,,-10.1,-15.4,-3.4,20,-14.3,57.9,100,,2.2,3.2,-2.9,4.7,4.9,0.6,-75,,-50,4,-7.7,19.7,-33.3,-33.3,16.7,,
형법범,강력범죄(폭력),소계,-32.3,-11.9,-50.2,-19.6,4.2,-40.8,82.4,,-29.1,-37.4,-17.4,-41.3,-11.6,-40.8,-6.5,,-30.8,-24.3,-17.6,-29.1,-22.4,-33.8,41.9,,-32.4,-39.6,-29.8,-34.7,-19.2,158.3,-48.3,,-9.8,-3.2,-5.1,29.5,-20.5,-15,154.5,,-9.5,-25.7,-15.5,-15.6,16.9,0,26.7,,10.5,-0.1,0,-13.3,11.4,16.3,14.3,,,6.5,3.7,2.5,-5.6,10.5,71,-78.9,,7.9,15,-12.9,19.2,16.2,14.7,-7,,11.5,7.4,18.1,17.6,13.1,-91.5,100,-7.4,-1.9,-11.1,7.7,-7.6,-3,-3.4,,,-10.7,-11,-7.8,13.3,-11.5,3.5,-12.5,,-4.9,5.9,18.1,22.2,-8.7,0.1,34.8,,,-10.5,-17.2,-5.3,-30.9,-6.1,45.8,57.1,
형법범,강력범죄(폭력),폭행,-10.9,18.8,250,50,11.2,-18.9,150,,-11.2,-19.3,15.1,-50,-10.7,-2.7,100,,26.7,56.4,185.7,92.3,44.1,111.5,25,,11.5,92.7,67.7,40.9,-14.9,230.6,-37.5,,2.2,-0.3,-35,58.7,-14,-6.7,252,,3.1,-22.7,-3.1,-3.2,19,21,60,,11.8,1.1,7.7,-23.5,13.3,21.1,21.6,,,8.6,4.5,7.4,6.7,10.3,68.8,-75,,8.2,33.1,0,54.9,27.3,13.4,-15.9,,9.9,4.5,6.1,6.3,12.4,-90.9,-50,-6.8,-4.9,-57.1,-5,-2.7,-0.3,2.2,,,-9,3.6,-11.7,2.9,-12.7,-9.1,300,,-5.5,4.9,16.7,31.3,-6.1,9,34.8,,,-11.9,-23.6,-13.5,5.7,-7.4,75,100,
