,총범죄자,총형법범,총재산범,절도,장물,사기,횡령,배임,손괴,총강력범(흉악),살인,강도,방화,성폭력,총강력범(폭력),폭행,상해,협박,공갈,약취와유인,체포와감금,폭력행위등(손괴강요주거침입등),폭력행위등(단체등의구성·활동),폭력행위등처벌에관한법률위반
2013,1276886.0,1027127.0,489493.0,106608.0,7465.0,297713.0,37886.0,9734.0,30087.0,27580.0,1028.0,2718.0,1382.0,22452.0,344376.0,165286.0,76993.0,4870.0,3483.0,285.0,1129.0,0.0,2018.0,90312.0
2014,1851907.0,934318.0,403911.0,96072.0,5056.0,228347.0,33526.0,10900.0,30010.0,29715.0,1036.0,2097.0,1444.0,25138.0,329614.0,201262.0,101931.0,10037.0,7388.0,263.0,2033.0,4893.0,1807.0,0.0
2015,1913636.0,978580.0,425597.0,103610.0,4718.0,237889.0,37754.0,9760.0,31866.0,31639.0,1002.0,2021.0,1479.0,27137.0,342526.0,219233.0,93049.0,14907.0,5701.0,263.0,2276.0,4968.0,2129.0,0.0
2016,1989829.0,991054.0,424450.0,106831.0,3801.0,232412.0,37300.0,8987.0,35119.0,33344.0,1012.0,1738.0,1350.0,29244.0,347523.0,234866.0,82845.0,17569.0,5835.0,283.0,2511.0,3013.0,601.0,0.0
2017,1835463.0,947042.0,409063.0,106186.0,3120.0,219477.0,35610.0,9533.0,35137.0,36404.0,929.0,1478.0,1263.0,32734.0,330548.0,227540.0,73808.0,17236.0,5466.0,295.0,2704.0,2897.0,602.0,0.0
2018,1721102.0,942650.0,420830.0,97822.0,1803.0,238536.0,37072.0,9651.0,35946.0,36145.0,890.0,1186.0,1360.0,32709.0,315571.0,219919.0,64923.0,19056.0,5318.0,263.0,2405.0,2720.0,967.0,0.0
2019,1728027.0,971904.0,445425.0,101815.0,1459.0,256426.0,37302.0,9661.0,38762.0,37003.0,914.0,1389.0,1290.0,33410.0,310600.0,216135.0,59449.0,23241.0,5286.0,363.0,2453.0,3176.0,497.0,0.0
