,총성인범죄,총형법범죄,총재산범죄,절도,장물,사기,횡령,배임,손괴,총강력범죄(흉악),살인,강도,방화,성폭력,총강력범죄(폭력),폭행,상해,협박,공갈,약취와유인,체포와감금,폭력행위등(손괴강요주거침입등),폭력행위등(단체등의구성·활동),폭력행위등처벌에관한법률위반
2013,1793810.0,924021.0,433559.0,69174.0,5513.0,288536.0,33359.0,7857.0,29120.0,23997.0,987.0,1948.0,1203.0,19859.0,313186.0,158193.0,72394.0,4672.0,2128.0,238.0,1053.0,0.0,1738.0,72770.0
2014,1773659.0,920607.0,429591.0,70226.0,3932.0,280827.0,35761.0,9636.0,29209.0,25162.0,991.0,1673.0,1222.0,21276.0,301604.0,187316.0,91762.0,9367.0,5541.0,248.0,1772.0,4062.0,1536.0,0.0
2015,1848309.0,946996.0,437646.0,81185.0,3521.0,279070.0,35293.0,8150.0,30427.0,27007.0,967.0,1520.0,1353.0,23167.0,313873.0,204091.0,83273.0,13900.0,4379.0,219.0,1996.0,4335.0,1680.0,0.0
2016,1910505.0,939490.0,415111.0,82570.0,2959.0,253591.0,34254.0,7655.0,34082.0,28144.0,983.0,1406.0,1156.0,24599.0,319186.0,219266.0,73639.0,16430.0,4531.0,250.0,2167.0,2416.0,487.0,0.0
2017,1846567.0,918160.0,414592.0,86159.0,2558.0,250132.0,33067.0,7962.0,34714.0,31490.0,913.0,1181.0,1097.0,28299.0,306656.0,215091.0,65515.0,16241.0,4673.0,261.0,2261.0,2265.0,349.0,0.0
2018,1691370.0,906522.0,427858.0,80733.0,1423.0,272124.0,31523.0,6779.0,35276.0,31050.0,850.0,934.0,1199.0,28067.0,291677.0,207325.0,57420.0,17666.0,4363.0,232.0,1935.0,2032.0,704.0,0.0
2019,1754795.0,980279.0,484251.0,85621.0,1243.0,316986.0,34515.0,7528.0,38358.0,32453.0,925.0,1022.0,1157.0,29349.0,291540.0,205638.0,53609.0,22090.0,4939.0,313.0,2081.0,2470.0,400.0,0.0
