"범죄별(1)",범죄별(2),범죄별(3),2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
"범죄별(1)",범죄별(2),범죄별(3),합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류,합계,기소,기소,기소,기소,소년보호송치,가정보호송치,성매매보호송치,불기소,불기소,불기소,불기소,불기소,기소중지,참고인중지,공소보류
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계,소계,소계,구공판_구속,구공판_불구속,구약식,소계,소계,소계,소계,기소유예,혐의없음,죄가안됨,공소권없음,소계,소계,소계
"형법범",재산범죄,배임,50.0,,,,,,,,200.0,100.0,,,,,,,100.0,,,,,,,,100.0,-50.0,400.0,,,,,,-66.7,,,,,,,,-83.3,,-80.0,,,,,,250.0,,,,,,,,500.0,,300.0,,,,,,-85.7,,,,,,,,-83.3,,-75.0,,,,,,800.0,,,,,,,,600.0,,200.0,,,,,
"형법범",재산범죄,손괴,50.2,35.0,,300.0,25.4,75.9,,,49.3,53.9,22.2,33.3,-25.0,400.0,,,62.8,82.7,-33.3,-25.0,93.2,82.4,,,53.9,47.7,154.5,0.0,-33.3,40.0,,,-34.5,-58.8,50.0,-66.7,-60.1,2.2,,,-33.8,-28.9,-66.1,-50.0,,-57.1,,,-16.9,-57.4,,200.0,-59.6,12.6,,,-18.3,-28.2,78.9,400.0,,33.3,,,10.5,-30.8,,-66.7,-30.4,-1.9,,,20.8,11.0,32.4,40.0,750.0,-50.0,,,79.7,205.6,300.0,500.0,181.3,44.8,,,83.4,103.0,51.1,-14.3,-17.6,200.0,,
"형법범",강력범죄(흉악),소계,3.8,-12.1,-15.7,0.0,-7.4,8.8,,,13.3,-4.4,105.0,-42.9,-11.2,16.7,,,56.4,107.5,84.0,190.7,64.0,34.0,,,46.8,32.3,35.1,50.0,79.2,52.4,,,5.5,-16.1,-20.0,-4.8,-43.9,21.1,,,9.5,26.4,15.9,5.6,-11.6,0.0,-41.2,,-2.4,-11.6,-8.4,-15.9,-26.1,-10.4,,,19.2,-11.3,22.7,0.0,55.6,-31.3,10.0,,5.9,21.7,18.1,23.7,88.2,10.3,,,-11.8,15.6,-10.7,-47.4,-31.4,113.6,18.2,,-20.0,-11.7,-26.1,8.4,31.3,-28.4,,,-13.3,13.2,-43.5,130.0,-11.9,-55.3,-53.8,
"형법범",강력범죄(흉악),살인,-5.0,-6.7,0.0,,,-50.0,,,100.0,0.0,200.0,,,,,,-36.8,-42.9,-50.0,,,,,,-25.0,0.0,-66.7,,,,,,50.0,100.0,128.6,,,,,,-33.3,,100.0,,,,,,5.6,-12.5,-31.3,,,,,,0.0,,,,,,,,-36.8,-50.0,-63.6,0.0,,50.0,,,0.0,,,,100.0,,,,116.7,142.9,250.0,0.0,,0.0,,,200.0,,,,0.0,,,
"형법범",강력범죄(흉악),강도,21.3,8.3,0.0,36.2,,21.1,,,60.2,6.5,150.0,0.0,,-18.2,,,32.0,53.1,34.0,100.0,,26.4,,,10.8,31.8,-9.4,0.0,100.0,66.7,,,15.3,-6.7,-8.1,-4.4,,21.9,,,44.3,27.6,75.3,50.0,-75.0,40.0,,,-42.1,-46.7,-39.7,-57.6,,-41.6,,,-34.7,-41.4,-36.3,-33.3,450.0,-71.4,,,32.1,65.9,45.1,96.9,,22.6,,,10.4,40.0,-16.3,-50.0,54.5,166.7,0.0,,-22.7,-2.3,-11.5,16.7,-50.0,-34.4,,,-26.0,0.0,-44.4,,-82.4,-25.0,,
"형법범",강력범죄(흉악),방화,58.7,-25.0,-37.5,0.0,,80.8,,,63.0,35.9,275.0,-28.6,,,,,29.5,33.3,-40.0,125.0,,42.6,,,23.9,35.8,10.0,-20.0,,-50.0,,,-6.9,0.0,100.0,-33.3,,-17.9,,,0.0,16.7,-36.4,0.0,,,,,-8.5,0.0,33.3,-33.3,,0.0,,,-14.7,-15.5,-14.3,0.0,,,,,8.1,-66.7,-87.5,-25.0,,23.6,,,8.6,26.8,-38.9,,,0.0,,,9.2,300.0,400.0,266.7,,2.9,,,3.0,-6.7,45.5,,,,,
"형법범",강력범죄(흉악),강간,-14.8,-32.5,-33.1,-45.5,-7.4,-9.5,,,-8.0,-26.5,52.6,-58.3,-13.4,66.7,,,90.5,212.5,186.6,495.8,64.0,44.3,,,71.4,30.7,90.8,140.0,78.1,50.0,,,-0.9,-25.7,-33.1,-2.8,-43.9,25.5,,,0.7,33.7,-1.8,0.0,-9.4,-26.7,-33.3,,33.9,23.1,25.0,28.1,-26.1,27.1,,,50.2,16.0,77.9,8.3,52.0,36.4,-20.0,,-4.1,6.9,10.5,-1.1,29.4,2.2,,,-18.4,0.7,-7.2,-30.8,-34.2,100.0,37.5,,-21.9,-22.6,-40.6,-1.7,68.2,-27.1,,,-12.9,32.7,-48.3,111.1,-7.2,-70.0,-45.5,
"형법범",강력범죄(폭력),소계,28.6,3.8,-23.4,77.3,-2.0,73.1,16.7,,17.3,13.7,31.0,-6.1,35.4,57.7,120.0,,46.4,50.5,137.8,71.6,40.3,41.9,71.4,,48.0,41.0,64.9,145.5,74.7,44.2,63.6,,-13.4,-51.0,-9.9,-20.6,-63.2,-0.6,41.7,,-14.6,-13.4,-13.3,-29.6,-20.4,-5.3,-27.8,,-21.1,-31.6,-47.1,-35.3,-25.3,-15.3,-79.4,,-23.0,-28.6,-2.3,-31.6,-6.6,-37.3,-30.8,,-4.5,-23.0,-27.0,1.2,-33.4,4.7,14.3,,-9.2,-11.1,-14.9,17.6,0.6,32.3,55.6,,42.4,157.1,195.1,165.1,143.1,31.1,112.5,,44.4,34.9,62.3,56.1,66.9,0.4,121.4,
"형법범",강력범죄(폭력),폭행,60.6,38.9,,-25.0,38.5,131.9,,,58.4,36.1,94.7,100.0,60.1,14.3,,,75.1,40.9,-66.7,266.7,38.1,46.7,333.3,,78.9,98.1,106.8,87.5,75.5,112.5,,,-19.4,-60.2,300.0,-54.5,-62.6,8.6,-15.4,,-19.2,-11.5,-19.6,53.3,-20.5,-29.4,0.0,,-3.6,13.5,100.0,-40.0,12.3,24.1,-81.8,,-6.0,-11.1,17.9,-30.4,-6.2,-16.7,0.0,,2.2,17.9,25.0,533.3,-4.1,56.1,100.0,,-4.4,64.8,5.5,12.5,-14.5,10.0,0.0,,77.2,99.0,-80.0,36.8,141.4,54.0,100.0,,79.9,85.0,98.7,144.4,76.6,236.4,300.0,
"형법범",강력범죄(폭력),상해,27.9,16.5,-53.8,11.1,19.1,63.7,-42.9,,22.2,23.2,45.5,-63.0,-20.0,43.8,-50.0,,35.2,33.5,133.3,32.5,32.3,25.2,75.0,,39.7,39.8,23.8,120.0,150.0,8.7,200.0,,-19.8,-59.9,-50.0,-20.8,-63.3,12.4,57.1,,-18.3,-19.1,-3.0,22.7,-80.0,4.0,,,-7.0,-8.3,157.1,-35.7,-8.4,12.6,-81.8,,-15.2,-15.9,4.2,-37.0,-50.0,-15.4,,,-6.1,-44.3,-38.9,37.0,-54.8,-3.0,-50.0,,-2.1,-11.9,26.0,41.2,10500.0,31.8,,,21.4,106.8,0.0,75.7,130.3,17.2,400.0,,16.5,17.4,19.0,8.3,3.8,-37.9,150.0,
