,총범죄,총형법범죄,총재산범죄,절도,장물,사기,횡령,배임,손괴,총강력범죄(흉악),살인,강도,방화,성폭력,총강력범죄(폭력),폭행,상해,협박,공갈,약취와 유인,체포와 감금,폭력행위등(손괴강요주거침입등),폭력행위등(단체등의구성·활동),폭력행위등처벌에관한법률위반
2013,1896076.0,1007845.0,483511.0,105346.0,7027.0,297881.0,35449.0,7859.0,29949.0,26558.0,1013.0,2654.0,1338.0,21553.0,339315.0,164744.0,75279.0,4832.0,3391.0,264.0,1083.0,0.0,1856.0,87866.0
2014,1846606.0,980223.0,463979.0,94444.0,4663.0,288240.0,37105.0,9638.0,29889.0,28121.0,1023.0,2072.0,1377.0,23649.0,319838.0,195947.0,98435.0,9662.0,7397.0,258.0,1864.0,4634.0,1641.0,0.0
2015,1914233.0,1000024.0,467487.0,100751.0,4202.0,286623.0,36590.0,8152.0,31169.0,29511.0,982.0,1918.0,1410.0,25201.0,330252.0,212955.0,88672.0,14224.0,5582.0,234.0,2102.0,4713.0,1770.0,0.0
2016,1982859.0,997766.0,446740.0,104106.0,3516.0,260767.0,35667.0,7662.0,35022.0,31248.0,1002.0,1700.0,1298.0,27248.0,337770.0,229454.0,79630.0,16845.0,5958.0,262.0,2325.0,2781.0,515.0,0.0
2017,1917280.0,974656.0,442934.0,105682.0,2994.0,256180.0,34459.0,7962.0,35657.0,34749.0,931.0,1416.0,1212.0,31190.0,327067.0,226365.0,71832.0,16839.0,6142.0,284.0,2489.0,2729.0,387.0,0.0
2018,1755435.0,958949.0,453680.0,97238.0,1698.0,278907.0,32862.0,6781.0,36194.0,34317.0,859.0,1139.0,1306.0,31013.0,310843.0,217995.0,62705.0,18327.0,6105.0,245.0,2198.0,2515.0,753.0,0.0
2019,1819205.0,1033223.0,511313.0,102342.0,1414.0,324814.0,35747.0,7529.0,39467.0,35918.0,945.0,1371.0,1255.0,32347.0,309750.0,215603.0,58493.0,22914.0,6638.0,328.0,2317.0,2997.0,460.0,0.0
