,2019
강력범(폭력),291128.0
폭행,205638.0
상해,53609.0
협박,22090.0
공갈,4939.0
기타폭력,5264.0
폭행비율,70.63490973042785
상해비율,18.414237036629935
협박비율,7.587727734879503
공갈비율,1.6965046302657252
기타폭력비율,1.808139375120222
