,2019
총강력범(흉악),32253.0
살인,925.0
강도,1022.0
방화,1157.0
성폭력,29349.0
살인비율,2.867950268192106
강도비율,3.1686974855052243
방화비율,3.5872632003224507
성폭력비율,90.996186401265
