처분결과별(1),시점,합계,재산범죄,강력범죄(흉악),강력범죄(폭력),위조범죄,공무원범죄,풍속범죄,과실범죄,기타형법범죄
합계,2013,83824,43840,2396,21446,2172,6,44,122,1647
합계,2014,59616,29838,2808,14847,1087,0,69,111,1682
합계,2015,53028,26064,2332,13385,1161,0,94,84,1872
합계,2016,58276,27361,2926,14789,1278,9,228,113,1929
합계,2017,56496,24098,3062,15959,1048,4,159,121,1655
합계,2018,52427,21828,3083,14776,894,1,210,121,1612
합계,2019,52944,23173,3255,14046,785,0,182,95,1810
