재범기간및종류별,시점,합계,재산범죄,강력범죄(흉악),강력범죄(폭력),위조범죄,공무원범죄,풍속범죄,과실범죄,기타형법범죄
합계,2013,46.60 ,38.33 ,58.37 ,52.27 ,29.08 ,17.57 ,70.23 ,48.20 ,54.51 
합계,2014,44.72 ,36.81 ,58.10 ,50.31 ,27.43 ,14.60 ,73.22 ,48.96 ,50.84 
합계,2015,44.88 ,38.89 ,56.07 ,48.87 ,29.01 ,11.71 ,73.83 ,47.52 ,47.65 
합계,2016,45.66 ,41.07 ,55.56 ,47.38 ,28.26 ,12.40 ,68.18 ,49.04 ,48.27 
합계,2017,43.86 ,40.18 ,51.60 ,45.32 ,25.28 ,16.22 ,69.05 ,47.25 ,45.21 
합계,2018,42.72 ,39.12 ,49.94 ,44.49 ,27.36 ,14.48 ,69.59 ,45.90 ,43.71 
합계,2019,40.84 ,36.99 ,47.78 ,44.29 ,24.02 ,13.44 ,65.73 ,43.09 ,40.80 
