재범기간및종류별,시점,소계,재산범죄,강력범죄(흉악),강력범죄(폭력),위조범죄,공무원범죄,풍속범죄,과실범죄,기타형법범죄
합계,2013,34028,22391,1047,9115,807,0,10,20,638
합계,2014,26748,16824,1008,7547,702,0,20,24,623
합계,2015,24867,15555,939,6962,713,0,33,23,642
합계,2016,24775,15317,918,7054,744,0,58,23,661
합계,2017,23127,13338,864,7680,580,0,46,24,595
합계,2018,22364,13104,874,7175,545,0,44,19,603
합계,2019,21911,13236,874,6647,459,0,44,29,622
